step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,im38698156,0.570499564008296,0.4626741667716728,2,,Who is Holly,Holly is an oil platform created in a joint partnership between ARCO and Exxon in 1966. Her name is possibly an allusion to the nearby Hollister ranch estate. She was decommissioned as of August 2024 with planned removal within the next 10 or so years by Exxon Mobil.,Black silhouette of a male surfer riding a small wave during the sunset with platform Holly visible in the background as well as a faint outline of Santa Cruz Island. It is a nice pink sunset with the small waves looking pinkish purple.,Learn more,blank_template-learn-more.md,,,,,
2,imag0009,0.4538711614888401,0.42718637545306565,2.68,,Transferring of Ownership,"The 90s saw Holly's ownership transferred twice between companies. In 1993, Mobil acquired full ownership of Holly after ending partnership with ARCO, and in 1999 Exxon merged with Mobil to form ExxonMobil. In between this merger, Holly was sold to smaller oil company Venoco. It is common practice for oil lease or sell their platforms to smaller companies such as Venoco when oil production in the area begins to slow.",,Learn more,blank_template-step2-layer1.md,,,,,
3,hollyhillaryhausersalpchain,0.4692050652150206,0.39689882718666175,1.86624,,Holly as a Subject of Research,"In the 90s Holly was regularly utilized for marine research and investigation by researchers at UC Santa Barbara and other institutions. Researchers like Dr. Milton Love of the ""Love Lab"" and Bruce Luyendyk of the ICS (Institute of Crustal Studies, now Earth Research Institute) performed various studies surrounding Holly's affect on marine wildlife and notable geographic changes with the oil and gas seepages that Holly takes from.",,Let's explore!,blank_template-what-research-was.md,,,,,
4,imag0041,0.42505502365342296,0.466496947395653,2,,History of Oil Spills,"Platform Holly infamously had a problem of constant oil leakage. In dozens of Kodak prints recovered from the UCSB Special Archives, photos spanning from the 1970s to early 2000s show evidence of oil leakage around Platform Holly, extending miles and miles past the source. While this is considered an industry norm, (as oil platforms are often used past their design lifespan and not regularly maintained) this exemplifies a lack of willingness by many of Holly's owners to properly maintain their infrastructure. 
In 2015, the explosion of the South Ellwood pipeline in which a pipeline maintained by oil corp All-American exploded and led to 142,800 gallons of crude oil into the Gaviota coast. ",,Learn more,blank_template-why-this-matters.md,,,,,
5,imag0015,0.4987127589566694,0.5155617611579382,1.0050000000000001,,,,,,,,,,,
6,imag0011,0.49369037570665814,0.5044233398437499,2,,,,,,,,,,,
7,,,,,,Thank you for your time!,,,,,,,,,
